"school_id","year","name","enrollment","low_income","income_label"
"610124",2015,"Harold Washington Elementary School",447.0,435.0,"Economically Disadvantaged"
"610192",2015,"Harriet Beecher Stowe Elementary School",773.0,764.0,"Economically Disadvantaged"
"610158",2015,"Harriet E Sayre Elementary Language Academy",530.0,420.0,"Economically Disadvantaged"
"609974",2015,"Hawthorne Elementary Scholastic Academy",574.0,127.0,"Economically Disadvantaged"
"609985",2015,"Helen M Hefferan Elementary School",436.0,402.0,"Economically Disadvantaged"
"610122",2015,"Helen Peirce International Studies ES",1033.0,731.0,"Economically Disadvantaged"
"609972",2015,"Helge A Haugan Elementary School",1154.0,1128.0,"Economically Disadvantaged"
"609856",2015,"Henry Clay Elementary School",595.0,566.0,"Economically Disadvantaged"
"610040",2015,"Henry D Lloyd Elementary School",1243.0,1201.0,"Economically Disadvantaged"
"400042",2015,"Henry Ford Academy Power House Charter HS",97.0,95.0,"Economically Disadvantaged"
"610092",2015,"Henry H Nash Elementary School",360.0,359.0,"Economically Disadvantaged"
"610279",2015,"Henry O Tanner Elementary School",402.0,359.0,"Economically Disadvantaged"
"609861",2015,"Henry R Clissold Elementary School",546.0,288.0,"Economically Disadvantaged"
"609798",2015,"Hiram H Belding Elementary School",617.0,446.0,"Economically Disadvantaged"
"609768",2015,"Hope College Preparatory High School",272.0,271.0,"Economically Disadvantaged"
"400043",2015,"Hope Institute Learning Academy",394.0,288.0,"Economically Disadvantaged"
"609850",2015,"Horace Greeley Elementary School",683.0,590.0,"Economically Disadvantaged"
"610052",2015,"Horace Mann Elementary School",388.0,381.0,"Economically Disadvantaged"
"400167",2015,"Horizon Science Academy-Southwest Chicago Charter",445.0,369.0,"Economically Disadvantaged"
"609713",2015,"Hyde Park Academy High School",946.0,922.0,"Economically Disadvantaged"
"610390",2015,"Hyman G Rickover Naval Academy High School",553.0,481.0,"Economically Disadvantaged"
"610110",2015,"Ida B Wells Preparatory Elementary Academy",458.0,432.0,"Economically Disadvantaged"
"610384",2015,"Infinity Math Science and Technology High School",418.0,404.0,"Economically Disadvantaged"
"400164",2015,"Instituto Charter Rudy Lozano - RLLAM",76.0,73.0,"Economically Disadvantaged"
"400104",2015,"Instituto Health Sciences Career Academy HS",769.0,750.0,"Economically Disadvantaged"
"400148",2015,"Instituto Justice and Leadership Acad Charter HS",167.0,162.0,"Economically Disadvantaged"
"610078",2015,"Inter-American Elementary Magnet School",654.0,369.0,"Economically Disadvantaged"
"400162",2015,"Intrinsic Charter HS",449.0,393.0,"Economically Disadvantaged"
"609848",2015,"Ira F Aldridge Elementary School",223.0,221.0,"Economically Disadvantaged"
"610532",2015,"Irene C. Hernandez Middle School for the Advancement of Science",943.0,929.0,"Economically Disadvantaged"
"610125",2015,"Irma C Ruiz Elementary School",839.0,804.0,"Economically Disadvantaged"
"610276",2015,"Irvin C Mollison Elementary School",466.0,399.0,"Economically Disadvantaged"
"610103",2015,"Isabelle C O'Keeffe Elementary School",676.0,662.0,"Economically Disadvantaged"
"610256",2015,"Jackie Robinson Elementary School",141.0,138.0,"Economically Disadvantaged"
"609797",2015,"Jacob Beidler Elementary School",505.0,463.0,"Economically Disadvantaged"
"609766",2015,"Jacqueline B Vaughn Occupational High School",201.0,161.0,"Economically Disadvantaged"
"609912",2015,"James B Farnsworth Elementary School",586.0,383.0,"Economically Disadvantaged"
"610070",2015,"James B McPherson Elementary School",782.0,680.0,"Economically Disadvantaged"
"610066",2015,"James E McDade Elementary Classical School",182.0,80.0,"Economically Disadvantaged"
"609803",2015,"James G Blaine Elementary School",898.0,185.0,"Economically Disadvantaged"
"609983",2015,"James Hedges Elementary School",781.0,774.0,"Economically Disadvantaged"
"610047",2015,"James Madison Elementary School",210.0,209.0,"Economically Disadvantaged"
"610074",2015,"James Monroe Elementary School",982.0,962.0,"Economically Disadvantaged"
"610200",2015,"James N Thorp Elementary School",364.0,358.0,"Economically Disadvantaged"
"610107",2015,"James Otis Elementary School",596.0,570.0,"Economically Disadvantaged"
"609891",2015,"James R Doolittle Jr Elementary School",307.0,300.0,"Economically Disadvantaged"
"610044",2015,"James Russell Lowell Elementary School",632.0,608.0,"Economically Disadvantaged"
"610174",2015,"James Shields Elementary School",1057.0,1050.0,"Economically Disadvantaged"
"610559",2015,"James Shields Middle School",706.0,696.0,"Economically Disadvantaged"
"610213",2015,"James Wadsworth Elementary School",550.0,540.0,"Economically Disadvantaged"
"610217",2015,"James Ward Elementary School",520.0,451.0,"Economically Disadvantaged"
"610274",2015,"James Weldon Johnson Elementary School",396.0,396.0,"Economically Disadvantaged"
"610093",2015,"Jane A Neil Elementary School",300.0,282.0,"Economically Disadvantaged"
"609772",2015,"Jane Addams Elementary School",890.0,788.0,"Economically Disadvantaged"
"609796",2015,"Jean Baptiste Beaubien Elementary School",1146.0,639.0,"Economically Disadvantaged"
"610271",2015,"Jensen Elementary Scholastic Academy",477.0,466.0,"Economically Disadvantaged"
"609943",2015,"Jesse Owens Elementary Community Academy",536.0,511.0,"Economically Disadvantaged"
"610173",2015,"Jesse Sherwood Elementary School",354.0,352.0,"Economically Disadvantaged"
"609942",2015,"Johann W von Goethe Elementary School",802.0,629.0,"Economically Disadvantaged"
"610216",2015,"John A Walsh Elementary School",450.0,412.0,"Economically Disadvantaged"
"609894",2015,"John B Drake Elementary School",462.0,415.0,"Economically Disadvantaged"
"610089",2015,"John B Murphy Elementary School",585.0,493.0,"Economically Disadvantaged"
"609789",2015,"John Barry Elementary School",839.0,807.0,"Economically Disadvantaged"
"609829",2015,"John C Burroughs Elementary School",490.0,469.0,"Economically Disadvantaged"
"609866",2015,"John C Coonley Elementary School",834.0,236.0,"Economically Disadvantaged"
"609893",2015,"John C Dore Elementary School",673.0,379.0,"Economically Disadvantaged"
"609959",2015,"John Charles Haines Elementary School",651.0,619.0,"Economically Disadvantaged"
"610176",2015,"John D Shoop Math-Science Technical Academy ES",504.0,497.0,"Economically Disadvantaged"
"609898",2015,"John F Eberhart Elementary School",1550.0,1521.0,"Economically Disadvantaged"
"609718",2015,"John F Kennedy High School",1568.0,1346.0,"Economically Disadvantaged"
"609919",2015,"John Fiske Elementary School",512.0,506.0,"Economically Disadvantaged"
"610263",2015,"John Foster Dulles Elementary School",778.0,776.0,"Economically Disadvantaged"
"610228",2015,"John Greenleaf Whittier Elementary School",324.0,319.0,"Economically Disadvantaged"
