school_id,level,subject,tested,proficiency
610312,ES,math,64,18.8
610313,ES,math,299,3
610315,ES,math,67,3
610316,ES,math,141,21.3
610317,ES,math,178,11.2
610319,ES,math,204,8.8
610325,ES,math,323,14.9
610329,ES,math,160,30
610339,ES,math,214,2.8
610342,ES,math,200,12
610345,ES,math,199,2.5
610347,ES,math,173,5.8
610350,ES,math,238,34.5
610352,ES,math,395,16.5
610353,ES,math,403,5
610354,ES,math,166,7.8
610355,ES,math,137,5.1
610362,ES,math,118,8.5
610363,ES,math,815,31.8
610364,ES,math,113,5.3
610366,ES,math,135,5.9
610367,ES,math,221,3.6
610368,ES,math,225,1.3
610369,ES,math,159,3.1
610391,ES,math,230,32.2
610396,ES,math,614,10.7
610405,ES,math,222,14.4
610503,ES,math,95,5.3
610515,ES,math,227,36.1
610520,ES,math,334,49.1
610521,ES,math,78,19.2
610523,ES,math,266,34.2
610530,ES,math,107,15.9
610532,ES,math,765,9.3
610533,ES,math,516,8.7
610534,ES,math,338,92.6
610539,ES,math,460,11.7
610541,ES,math,386,19.7
610542,ES,math,414,25.1
610544,ES,math,496,14.9
610548,ES,math,225,45.8
610559,ES,math,374,6.7
610564,ES,math,160,21.3
