"school_id","year","level","assessment","subject","tested","proficiency"
"610052",2024,"ES","IAR/PARCC","reading",181,33.7
"610053",2024,"ES","IAR/PARCC","reading",630,18.6
"610054",2024,"ES","IAR/PARCC","reading",389,23.7
"610055",2024,"ES","IAR/PARCC","reading",110,16.4
"610056",2024,"ES","IAR/PARCC","reading",145,6.9
"610057",2024,"ES","IAR/PARCC","reading",318,9.1
"610059",2024,"ES","IAR/PARCC","reading",367,72.2
"610060",2024,"ES","IAR/PARCC","reading",297,56.9
"610062",2024,"ES","IAR/PARCC","reading",175,29.7
"610063",2024,"ES","IAR/PARCC","reading",198,7.6
"610065",2024,"ES","IAR/PARCC","reading",187,5.3
"610066",2024,"ES","IAR/PARCC","reading",133,86.5
"610067",2024,"ES","IAR/PARCC","reading",344,13.1
"610068",2024,"ES","IAR/PARCC","reading",659,19.9
"610070",2024,"ES","IAR/PARCC","reading",327,30.9
"610073",2024,"ES","IAR/PARCC","reading",235,53.2
"610074",2024,"ES","IAR/PARCC","reading",379,19
"610076",2024,"ES","IAR/PARCC","reading",250,20
"610077",2024,"ES","IAR/PARCC","reading",355,15.2
"610078",2024,"ES","IAR/PARCC","reading",396,44.7
"610081",2024,"ES","IAR/PARCC","reading",351,67.5
"610082",2024,"ES","IAR/PARCC","reading",713,69.8
"610084",2024,"ES","IAR/PARCC","reading",164,97.6
"610086",2024,"ES","IAR/PARCC","reading",145,27.6
"610088",2024,"ES","IAR/PARCC","reading",306,21.6
"610089",2024,"ES","IAR/PARCC","reading",273,35.5
"610090",2024,"ES","IAR/PARCC","reading",309,40.5
"610091",2024,"ES","IAR/PARCC","reading",193,32.6
"610092",2024,"ES","IAR/PARCC","reading",127,10.2
"610093",2024,"ES","IAR/PARCC","reading",102,30.4
"610094",2024,"ES","IAR/PARCC","reading",341,65.1
"610095",2024,"ES","IAR/PARCC","reading",211,29.9
"610096",2024,"ES","IAR/PARCC","reading",604,25.3
"610097",2024,"ES","IAR/PARCC","reading",341,8.5
"610098",2024,"ES","IAR/PARCC","reading",403,21.1
"610099",2024,"ES","IAR/PARCC","reading",227,54.6
"610100",2024,"ES","IAR/PARCC","reading",283,31.4
"610101",2024,"ES","IAR/PARCC","reading",520,20.4
"610102",2024,"ES","IAR/PARCC","reading",186,11.8
"610103",2024,"ES","IAR/PARCC","reading",343,14.6
"610104",2024,"ES","IAR/PARCC","reading",416,46.9
"610105",2024,"ES","IAR/PARCC","reading",372,62.4
"610106",2024,"ES","IAR/PARCC","reading",391,11.8
"610107",2024,"ES","IAR/PARCC","reading",190,15.8
"610108",2024,"ES","IAR/PARCC","reading",198,13.6
"610109",2024,"ES","IAR/PARCC","reading",155,26.5
"610110",2024,"ES","IAR/PARCC","reading",175,40
"610111",2024,"ES","IAR/PARCC","reading",453,36.9
"610112",2024,"ES","IAR/PARCC","reading",214,15.9
"610115",2024,"ES","IAR/PARCC","reading",164,14
"610116",2024,"ES","IAR/PARCC","reading",141,20.6
"610117",2024,"ES","IAR/PARCC","reading",188,30.9
"610120",2024,"ES","IAR/PARCC","reading",254,27.2
"610121",2024,"ES","IAR/PARCC","reading",182,21.4
"610122",2024,"ES","IAR/PARCC","reading",528,43.6
"610123",2024,"ES","IAR/PARCC","reading",100,10
"610124",2024,"ES","IAR/PARCC","reading",151,32.5
"610125",2024,"ES","IAR/PARCC","reading",291,26.8
"610126",2024,"ES","IAR/PARCC","reading",265,16.2
"610127",2024,"ES","IAR/PARCC","reading",591,37.9
"610128",2024,"ES","IAR/PARCC","reading",138,29.7
"610129",2024,"ES","IAR/PARCC","reading",219,35.6
"610130",2024,"ES","IAR/PARCC","reading",92,12
"610131",2024,"ES","IAR/PARCC","reading",69,23.2
"610132",2024,"ES","IAR/PARCC","reading",141,85.8
"610133",2024,"ES","IAR/PARCC","reading",163,6.7
"610135",2024,"ES","IAR/PARCC","reading",520,27.7
"610136",2024,"ES","IAR/PARCC","reading",239,79.5
"610137",2024,"ES","IAR/PARCC","reading",440,33.6
"610138",2024,"ES","IAR/PARCC","reading",545,51.4
"610139",2024,"ES","IAR/PARCC","reading",216,18.5
"610141",2024,"ES","IAR/PARCC","reading",331,67.1
"610142",2024,"ES","IAR/PARCC","reading",365,20
"610143",2024,"ES","IAR/PARCC","reading",150,6
"610144",2024,"ES","IAR/PARCC","reading",370,21.9
"610145",2024,"ES","IAR/PARCC","reading",401,27.7
"610146",2024,"ES","IAR/PARCC","reading",127,1.6
"610147",2024,"ES","IAR/PARCC","reading",440,50.9
"610148",2024,"ES","IAR/PARCC","reading",477,41.3
"610152",2024,"ES","IAR/PARCC","reading",212,25.9
"610153",2024,"ES","IAR/PARCC","reading",160,23.8
"610155",2024,"ES","IAR/PARCC","reading",395,66.6
"610157",2024,"ES","IAR/PARCC","reading",640,19.1
"610158",2024,"ES","IAR/PARCC","reading",239,29.3
"610159",2024,"ES","IAR/PARCC","reading",403,26.1
"610165",2024,"ES","IAR/PARCC","reading",274,11.3
"610167",2024,"ES","IAR/PARCC","reading",272,12.9
"610170",2024,"ES","IAR/PARCC","reading",447,42.1
